id.orig_h,id.orig_p,id.resp_h,proto,duration,orig_bytes,resp_bytes,conn_state,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label,bytes_ratio,duration_scaled
192.168.100.113,123,31.31.74.35,udp,0.004744,48.0,48.0,SF,Dd,1,76,1,76,(empty)   Benign   -,,,0.9795918367346939,-0.4975713673913665
192.168.100.113,43568,178.128.185.250,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,34304,128.185.250.50,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,46804,178.128.185.250,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,37756,128.185.250.50,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,43836,178.128.185.250,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,45740,178.128.185.250,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,36304,128.185.250.50,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,35000,128.185.250.50,tcp,3.159686,0.0,0.0,S0,S,3,180,0,0,(empty)   Malicious   C&C,,,0.0,2.0285086699345545
192.168.100.113,37272,128.185.250.50,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,46260,178.128.185.250,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,123,147.231.100.5,udp,0.001747,48.0,48.0,SF,Dd,1,76,1,76,(empty)   Benign   -,,,0.9795918367346939,-0.499970987375463
192.168.100.113,46784,178.128.185.250,tcp,3.089981,0.0,0.0,S0,S,3,180,0,0,(empty)   Malicious   C&C,,,0.0,1.9726976886227572
192.168.100.113,44880,178.128.185.250,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,123,81.2.254.224,udp,0.005496,48.0,48.0,SF,Dd,1,76,1,76,(empty)   Benign   -,,,0.9795918367346939,-0.4969692605418367
192.168.100.113,46152,178.128.185.250,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
192.168.100.113,35784,128.185.250.50,tcp,0.0,0.0,0.0,S0,S,1,60,0,0,(empty)   Malicious   C&C,,,0.0,-0.5013697648570169
